brand,name,address_street,suburb,city,state,postcode,lat,lng,phone,email,website,rating,review_count,opening_hours,location_type,google_place_id,maps_url,svi_search_volume,svi_cpc,svi_competition,svi_period,pop_sa2_name,pop_year,pop_population,pop_change,pop_growth_pct
El Jannah,El Jannah Chicken Warringah Mall,Shop 2008/8 Cross St,BROOKVALE,SYDNEY,NSW,2100,-33.7663501,151.2677865,+61 2 7908 5476,,https://eljannah.com.au/locations/nsw/warringah-mall/,4.8,782,Mon: 11:00 - 22:00; Tue: 11:00 - 22:00; Wed: 11:00 - 22:00; Thu: 11:00 - 22:00; Fri: 11:00 - 22:00; Sat: 11:00 - 22:00; Sun: 11:00 - 22:00,brick_and_mortar,0x6b12abf18c393693:0xec92eb071a650f7d,https://www.google.com/maps/place/El+Jannah+Chicken+Warringah+Mall/data=!4m7!3m6!1s0x6b12abf18c393693:0xec92eb071a650f7d!8m2!3d-33.7663501!4d151.2677865!16s%2Fg%2F11ycdx049f!19sChIJkzY5jPGrEmsRfQ9lGgfrkuw?authuser=0&hl=en&rclk=1,,,,,,,,,
El Jannah,El Jannah Chicken Burwood,Shop 1/11-13 Burwood Rd,BURWOOD,ROYAL EXCHANGE,NSW,2134,-33.8700154,151.1048632,+61 2 7908 5476,,https://eljannah.com.au/locations/nsw/burwood/,4.0,1421,Mon: 10:00 - 00:00; Tue: 10:00 - 00:00; Wed: 10:00 - 00:00; Thu: 10:00 - 00:00; Fri: 10:00 - 00:00; Sat: 10:00 - 00:00; Sun: 10:00 - 00:00,brick_and_mortar,0x6b12bad1d412af17:0xf614ed0d58c623d0,https://www.google.com/maps/place/El+Jannah+Chicken+Burwood/data=!4m7!3m6!1s0x6b12bad1d412af17:0xf614ed0d58c623d0!8m2!3d-33.8700154!4d151.1048632!16s%2Fg%2F11ljcs23hh!19sChIJF68S1NG6EmsR0CPGWA3tFPY?authuser=0&hl=en&rclk=1,,,,,,,,,
El Jannah,El Jannah Chicken Chester Hill,160 Waldron Rd,CHESTER HILL,SYDNEY,NSW,2162,-33.8828793,151.0005278,+61 2 7908 5476,,https://eljannah.com.au/locations/nsw/chester-hill/,3.7,337,Mon: 11:00 - 22:00; Tue: 11:00 - 22:00; Wed: 11:00 - 22:00; Thu: 11:00 - 22:00; Fri: 11:00 - 22:00; Sat: 11:00 - 22:00; Sun: 11:00 - 22:00,brick_and_mortar,0x6b12bda18631d25b:0xdbfb94a45de0d12f,https://www.google.com/maps/place/El+Jannah+Chicken+Chester+Hill/data=!4m7!3m6!1s0x6b12bda18631d25b:0xdbfb94a45de0d12f!8m2!3d-33.8828793!4d151.0005278!16s%2Fg%2F11twd28_4s!19sChIJW9IxhqG9EmsRL9HgXaSU-9s?authuser=0&hl=en&rclk=1,,,,,,,,,
El Jannah,El Jannah Chicken Cranebrook,1 Renshaw St,CRANEBROOK,SYDNEY,NSW,2749,-33.7303257,150.7016258,+61 2 7908 5476,,https://eljannah.com.au/locations/nsw/cranebrook/,,0,Mon: 10:00 - 23:00; Tue: 10:00 - 23:00; Wed: 10:00 - 23:00; Thu: 10:00 - 23:00; Fri: 10:00 - 23:00; Sat: 10:00 - 23:00; Sun: 10:00 - 23:00,brick_and_mortar,0x6b12851ca19cda95:0x37946d7b8810dcaf,https://www.google.com/maps/place/El+Jannah+Chicken+Cranebrook/data=!4m7!3m6!1s0x6b12851ca19cda95:0x37946d7b8810dcaf!8m2!3d-33.7303257!4d150.7016258!16s%2Fg%2F11z5n_ggx0!19sChIJldqcoRyFEmsRr9wQiHttlDc?authuser=0&hl=en&rclk=1,,,,,,,,,
El Jannah,El Jannah Chicken Cronulla,47-49 Kingsway,CRONULLA,SYDNEY,NSW,2230,-34.0506406,151.1514681,+61 2 7908 5476,,https://eljannah.com.au/locations/nsw/cronulla/,5.0,1,Mon: 11:00 - 22:00; Tue: 11:00 - 22:00; Wed: 11:00 - 22:00; Thu: 11:00 - 22:00; Fri: 11:00 - 22:00; Sat: 11:00 - 22:00; Sun: 11:00 - 22:00,brick_and_mortar,0x6b12c900391294ef:0x80e53843f3d39b7f,https://www.google.com/maps/place/El+Jannah+Chicken+Cronulla/data=!4m7!3m6!1s0x6b12c900391294ef:0x80e53843f3d39b7f!8m2!3d-34.0506406!4d151.1514681!16s%2Fg%2F11z4br3x82!19sChIJ75QSOQDJEmsRf5vT80M45YA?authuser=0&hl=en&rclk=1,,,,,,,,,
El Jannah,El Jannah Chicken Crows Nest,34 Willoughby Rd,CROWS NEST,SYDNEY,NSW,2065,-33.8266903,151.2005716,+61 2 7908 5476,,https://eljannah.com.au/locations/nsw/crows-nest/,3.9,667,Mon: 10:00 - 23:00; Tue: 10:00 - 23:00; Wed: 10:00 - 23:00; Thu: 10:00 - 23:00; Fri: 10:00 - 23:00; Sat: 10:00 - 23:00; Sun: 10:00 - 22:00,brick_and_mortar,0x6b12af0014ae4af7:0xeb6231f39c1d855,https://www.google.com/maps/place/El+Jannah+Chicken+Crows+Nest/data=!4m7!3m6!1s0x6b12af0014ae4af7:0xeb6231f39c1d855!8m2!3d-33.8266903!4d151.2005716!16s%2Fg%2F11ld9683mc!19sChIJ90quFACvEmsRVdjBOR8jtg4?authuser=0&hl=en&rclk=1,,,,,,,,,
El Jannah,El Jannah Chicken Earlwood,283 Homer St,EARLWOOD,SYDNEY,NSW,2206,-33.9264500,151.1275371,+61 2 7908 5476,,https://eljannah.com.au/locations/nsw/earlwood/,4.0,728,Mon: 11:00 - 23:00; Tue: 11:00 - 23:00; Wed: 11:00 - 23:00; Thu: 11:00 - 23:00; Fri: 11:00 - 23:00; Sat: 11:00 - 23:00; Sun: 11:00 - 23:00,brick_and_mortar,0x6b12bb24ea6b2e19:0xe4ac5a5baddeec1a,https://www.google.com/maps/place/El+Jannah+Chicken+Earlwood/data=!4m7!3m6!1s0x6b12bb24ea6b2e19:0xe4ac5a5baddeec1a!8m2!3d-33.92645!4d151.1275371!16s%2Fg%2F11ry8pr7c3!19sChIJGS5r6iS7EmsRGuzerVtarOQ?authuser=0&hl=en&rclk=1,,,,,Earlwood,2024,18121,38,0.21
El Jannah,El Jannah Chicken Granville,4/8 South St,GRANVILLE,SYDNEY,NSW,2142,-33.8328568,151.0110548,+61 2 7908 5476,,https://eljannah.com.au/locations/nsw/granville/,4.3,7325,Mon: 10:00 - 23:00; Tue: 10:00 - 23:00; Wed: 10:00 - 23:00; Thu: 10:00 - 23:00; Fri: 10:00 - 00:00; Sat: 10:00 - 00:00; Sun: 10:00 - 23:00,brick_and_mortar,0x6b12a32e120c7c65:0x26e2a1a21fb09516,https://www.google.com/maps/place/El+Jannah+Chicken+Granville/data=!4m7!3m6!1s0x6b12a32e120c7c65:0x26e2a1a21fb09516!8m2!3d-33.8328568!4d151.0110548!16s%2Fg%2F1v4pt48b!19sChIJZXwMEi6jEmsRFpWwH6Kh4iY?authuser=0&hl=en&rclk=1,,,,,,,,,
El Jannah,El Jannah Chicken Gregory Hills,T24/33 Village Cct,GREGORY HILLS,ROYAL EXCHANGE,NSW,2557,-34.0268590,150.7780108,+61 2 7908 5476,,https://eljannah.com.au/locations/nsw/gregory-hills/,4.3,1018,Mon: 11:00 - 22:00; Tue: 11:00 - 22:00; Wed: 11:00 - 22:00; Thu: 11:00 - 22:00; Fri: 11:00 - 22:00; Sat: 11:00 - 22:00; Sun: 11:00 - 22:00,brick_and_mortar,0x6b12ef5651de5d95:0x3a04fe604f56b95e,https://www.google.com/maps/place/El+Jannah+Chicken+Gregory+Hills/data=!4m7!3m6!1s0x6b12ef5651de5d95:0x3a04fe604f56b95e!8m2!3d-34.026859!4d150.7780108!16s%2Fg%2F11rjw6s6j9!19sChIJlV3eUVbvEmsRXrlWT2D-BDo?authuser=0&hl=en&rclk=1,,,,,,,,,
El Jannah,El Jannah Chicken Kensington,"Shops, 1-3, 2/14 Gatehouse Dr",KENSINGTON,KENSINGTON,NSW,3031,-37.7917263,144.9195035,+61 2 7908 5476,,https://eljannah.com.au/locations/vic/kensington/,4.1,622,Mon: 11:00 - 23:00; Tue: 11:00 - 23:00; Wed: 11:00 - 23:00; Thu: 11:00 - 23:00; Fri: 11:00 - 23:00; Sat: 11:00 - 23:00; Sun: 11:00 - 23:00,brick_and_mortar,0x6ad65d246f80fa17:0xd7bc41902c6fc2e6,https://www.google.com/maps/place/El+Jannah+Chicken+Kensington/data=!4m7!3m6!1s0x6ad65d246f80fa17:0xd7bc41902c6fc2e6!8m2!3d-37.7917263!4d144.9195035!16s%2Fg%2F11y5z5_wj9!19sChIJF_qAbyRd1moR5sJvLJBBvNc?authuser=0&hl=en&rclk=1,,,,,,,,,
El Jannah,El Jannah Chicken Kogarah,100-102 Railway Parade,KOGARAH,ROYAL EXCHANGE,NSW,2217,-33.9642044,151.1325509,+61 2 7908 5476,,https://eljannah.com.au/locations/nsw/kogarah/,4.0,1924,Mon: 11:00 - 22:00; Tue: 11:00 - 22:00; Wed: 11:00 - 22:00; Thu: 11:00 - 22:00; Fri: 11:00 - 22:00; Sat: 11:00 - 22:00; Sun: 11:00 - 22:00,brick_and_mortar,0x6b12b99574ca4de5:0x411819d96354a9d8,https://www.google.com/maps/place/El+Jannah+Chicken+Kogarah/data=!4m7!3m6!1s0x6b12b99574ca4de5:0x411819d96354a9d8!8m2!3d-33.9642044!4d151.1325509!16s%2Fg%2F11fjbmb68m!19sChIJ5U3KdJW5EmsR2KlUY9kZGEE?authuser=0&hl=en&rclk=1,,,,,Kogarah,2024,15008,716,5.01
El Jannah,El Jannah Chicken Emerald Hills,Shop 2J/5 Raby Rd,LEPPINGTON,SYDNEY,NSW,2179,-33.9953923,150.7897858,+61 2 7908 5476,,https://eljannah.covm.au/locations/nsw/emerald-hills/,,0,Mon: 11:00 - 22:00; Tue: 11:00 - 22:00; Wed: 11:00 - 22:00; Thu: 11:00 - 22:00; Fri: 11:00 - 22:00; Sat: 11:00 - 22:00; Sun: 11:00 - 22:00,brick_and_mortar,0x6b12ed06c21cd389:0x62eb58ca7c502b03,https://www.google.com/maps/place/El+Jannah+Chicken+Emerald+Hills/data=!4m7!3m6!1s0x6b12ed06c21cd389:0x62eb58ca7c502b03!8m2!3d-33.9953923!4d150.7897858!16s%2Fg%2F11z1rl5y4w!19sChIJidMcwgbtEmsRAytQfMpY62I?authuser=0&hl=en&rclk=1,,,,,,,,,
El Jannah,El Jannah Chicken Lindfield,310-312 Pacific Hwy,LINDFIELD,SYDNEY,NSW,2070,-33.7760079,151.1685293,+61 2 7908 5476,,https://eljannah.com.au/locations/nsw/,4.4,1064,Mon: 11:00 - 23:00; Tue: 11:00 - 23:00; Wed: 11:00 - 23:00; Thu: 11:00 - 23:00; Fri: 11:00 - 23:00; Sat: 11:00 - 23:00; Sun: 11:00 - 23:00,brick_and_mortar,0x6b12a911d69129a1:0x893cddcc1d02058b,https://www.google.com/maps/place/El+Jannah+Chicken+Lindfield/data=!4m7!3m6!1s0x6b12a911d69129a1:0x893cddcc1d02058b!8m2!3d-33.7760079!4d151.1685293!16s%2Fg%2F11ycs5xf2w!19sChIJoSmR1hGpEmsRiwUCHczdPIk?authuser=0&hl=en&rclk=1,,,,,,,,,
El Jannah,El Jannah Chicken Maroubra,781 Anzac Parade,MAROUBRA,SYDNEY,NSW,2035,-33.9424967,151.2391891,+61 2 7908 5476,,https://eljannah.com.au/locations/nsw/maroubra/,,0,Mon: 11:00 - 23:00; Tue: 11:00 - 23:00; Wed: 11:00 - 23:00; Thu: 11:00 - 23:00; Fri: 11:00 - 23:00; Sat: 11:00 - 23:00; Sun: 11:00 - 23:00,brick_and_mortar,0x6b12b3e0e688275d:0xbc0756a710ca96eb,https://www.google.com/maps/place/El+Jannah+Chicken+Maroubra/data=!4m7!3m6!1s0x6b12b3e0e688275d:0xbc0756a710ca96eb!8m2!3d-33.9424967!4d151.2391891!16s%2Fg%2F11yxny7snx!19sChIJXSeI5uCzEmsR65bKEKdWB7w?authuser=0&hl=en&rclk=1,,,,,,,,,
El Jannah,El Jannah Chicken Marsden Park,2 Ultimo Pl,MARSDEN PARK,SYDNEY,NSW,2765,-33.7122580,150.8430482,+61 2 7908 5476,,https://eljannah.com.au/locations/nsw/marsden-park/,4.4,918,Mon: 10:00 - 23:00; Tue: 10:00 - 23:00; Wed: 10:00 - 23:00; Thu: 10:00 - 23:00; Fri: 10:00 - 23:00; Sat: 10:00 - 23:00; Sun: 10:00 - 23:00,brick_and_mortar,0x6b129ddb0dd051ef:0x680477952bcab887,https://www.google.com/maps/place/El+Jannah+Chicken+Marsden+Park/data=!4m7!3m6!1s0x6b129ddb0dd051ef:0x680477952bcab887!8m2!3d-33.712258!4d150.8430482!16s%2Fg%2F11x8jjxx4h!19sChIJ71HQDdudEmsRh7jKK5V3BGg?authuser=0&hl=en&rclk=1,,,,,,,,,
El Jannah,El Jannah Chicken Minto,"Minto Mall, 10 Brookfield Rd",MINTO,ROYAL EXCHANGE,NSW,2566,-34.0283432,150.8509614,+61 2 7908 5476,,https://eljannah.com.au/locations/nsw/minto/,4.0,301,Mon: 11:00 - 23:00; Tue: 11:00 - 23:00; Wed: 11:00 - 23:00; Thu: 11:00 - 23:00; Fri: 11:00 - 23:00; Sat: 11:00 - 23:00; Sun: 11:00 - 23:00,brick_and_mortar,0x6b12ed00204c417f:0x543e189de6132c4f,https://www.google.com/maps/place/El+Jannah+Chicken+Minto/data=!4m7!3m6!1s0x6b12ed00204c417f:0x543e189de6132c4f!8m2!3d-34.0283432!4d150.8509614!16s%2Fg%2F11x8mj9b9c!19sChIJf0FMIADtEmsRTywT5p0YPlQ?authuser=0&hl=en&rclk=1,,,,,,,,,
El Jannah,El Jannah Chicken Newtown,156 King St,NEWTOWN,SYDNEY,NSW,2042,-33.8938247,151.1834312,+61 2 7908 5476,,https://eljannah.com.au/locations/nsw/newtown/,4.0,1157,Mon: 10:00 - 23:00; Tue: 10:00 - 23:00; Wed: 10:00 - 23:00; Thu: 10:00 - 23:00; Fri: 10:00 - 23:00; Sat: 10:00 - 23:00; Sun: 10:00 - 23:00,brick_and_mortar,0x6b12b1fbdbb59631:0x8776f7630a0fdcd7,https://www.google.com/maps/place/El+Jannah+Chicken+Newtown/data=!4m7!3m6!1s0x6b12b1fbdbb59631:0x8776f7630a0fdcd7!8m2!3d-33.8938247!4d151.1834312!16s%2Fg%2F11fnh1gdb8!19sChIJMZa12_uxEmsR19wPCmP3doc?authuser=0&hl=en&rclk=1,,,,,,,,,
El Jannah,El Jannah Chicken North Rocks,328-336 N Rocks Rd,NORTH ROCKS,SYDNEY,NSW,2151,-33.7691140,151.0276497,+61 2 7908 5476,,https://eljannah.com.au/locations/nsw/north-rocks/,,0,Mon: 11:00 - 22:00; Tue: 11:00 - 22:00; Wed: 11:00 - 22:00; Thu: 11:00 - 22:00; Fri: 11:00 - 22:00; Sat: 11:00 - 22:00; Sun: 11:00 - 22:00,brick_and_mortar,0x6b12a389e94e973f:0x9fa7c893c4a1df68,https://www.google.com/maps/place/El+Jannah+Chicken+North+Rocks/data=!4m7!3m6!1s0x6b12a389e94e973f:0x9fa7c893c4a1df68!8m2!3d-33.769114!4d151.0276497!16s%2Fg%2F11z5n_tkwd!19sChIJP5dO6YmjEmsRaN-hxJPIp58?authuser=0&hl=en&rclk=1,,,,,North Rocks,2024,8702,45,0.52
El Jannah,El Jannah,,NORTH ROCKS,SYDNEY,NSW,2151,-33.7692346,151.0269522,,,,1.0,1,,service_area,0x6b12a30048dd4dcf:0xfcbee04ad003bf4e,https://www.google.com/maps/place/El+Jannah/data=!4m7!3m6!1s0x6b12a30048dd4dcf:0xfcbee04ad003bf4e!8m2!3d-33.7692346!4d151.0269522!16s%2Fg%2F11z4qkj1rh!19sChIJz03dSACjEmsRTr8D0Ergvvw?authuser=0&hl=en&rclk=1,,,,,North Rocks,2024,8702,45,0.52
El Jannah,El Jannah Chicken Norwest,"Norwest Marketown, 4 Century Cct",NORWEST,ROYAL EXCHANGE,NSW,2153,-33.7340620,150.9629249,+61 2 7908 5476,,https://eljannah.com.au/locations/nsw/norwest/,4.6,1639,Mon: 11:00 - 22:00; Tue: 11:00 - 22:00; Wed: 11:00 - 22:00; Thu: 11:00 - 22:00; Fri: 11:00 - 22:00; Sat: 11:00 - 22:00; Sun: 11:00 - 22:00,brick_and_mortar,0x6b12a11fa2bdd4b5:0x14f85da260b67cb7,https://www.google.com/maps/place/El+Jannah+Chicken+Norwest/data=!4m7!3m6!1s0x6b12a11fa2bdd4b5:0x14f85da260b67cb7!8m2!3d-33.734062!4d150.9629249!16s%2Fg%2F11vd9rdmp8!19sChIJtdS9oh-hEmsRt3y2YKJd-BQ?authuser=0&hl=en&rclk=1,,,,,,,,,
El Jannah,El Jannah Chicken Nowra,104 Worrigee St,NOWRA,ROYAL EXCHANGE,NSW,2541,-34.8773606,150.6043292,+61 2 7908 5476,,https://eljannah.com.au/locations/nsw/nowra/,3.8,190,Mon: 10:00 - 22:00; Tue: 10:00 - 22:00; Wed: 10:00 - 22:00; Thu: 10:00 - 22:00; Fri: 10:00 - 22:00; Sat: 10:00 - 22:00; Sun: 10:00 - 22:00,brick_and_mortar,0x6b148100735b1a63:0x707c681b9b943c67,https://www.google.com/maps/place/El+Jannah+Chicken+Nowra/data=!4m7!3m6!1s0x6b148100735b1a63:0x707c681b9b943c67!8m2!3d-34.8773606!4d150.6043292!16s%2Fg%2F11x78hrg43!19sChIJYxpbcwCBFGsRZzyUmxtofHA?authuser=0&hl=en&rclk=1,,,,,Nowra,2024,23677,302,1.29
El Jannah,El Jannah Chicken Penrith,Shop 2/535 High St,PENRITH,SYDNEY,NSW,2750,-33.7527973,150.6946284,+61 2 7908 5476,,https://eljannah.com.au/locations/nsw/penrith/,4.2,2801,Mon: 11:00 - 22:00; Tue: 11:00 - 22:00; Wed: 11:00 - 22:00; Thu: 11:00 - 22:00; Fri: 11:00 - 22:00; Sat: 11:00 - 22:00; Sun: 11:00 - 22:00,brick_and_mortar,0x6b1285f46ff78f53:0x50005d6e22bc07e2,https://www.google.com/maps/place/El+Jannah+Chicken+Penrith/data=!4m7!3m6!1s0x6b1285f46ff78f53:0x50005d6e22bc07e2!8m2!3d-33.7527973!4d150.6946284!16s%2Fg%2F11c5t4sc65!19sChIJU4_3b_SFEmsR4ge8Im5dAFA?authuser=0&hl=en&rclk=1,,,,,Penrith,2024,19848,487,2.52
